report_date,Delta,BA.1,BA.2
2021-11-18,48.142857142857146,0,0
2021-11-19,40.42857142857143,0,0
2021-11-20,36.714285714285715,0,0
2021-11-21,28.428571428571427,0,0
2021-11-22,27.571428571428573,0,0
2021-11-23,25,0,0
2021-11-24,25.428571428571427,0,0
2021-11-25,26.428571428571427,0,0
2021-11-26,27.428571428571427,0,0
2021-11-27,26.857142857142858,0,0
2021-11-28,24.428571428571427,0,0
2021-11-29,24.285714285714285,0,0
2021-11-30,24.571428571428573,0,0
2021-12-01,24.857142857142858,0,0
2021-12-02,24.285714285714285,0,0
2021-12-03,26.142857142857142,0,0
2021-12-04,26.571428571428573,0,0
2021-12-05,26.714285714285715,0,0
2021-12-06,26.571428571428573,0,0
2021-12-07,25.571428571428573,0,0
2021-12-08,25.285714285714285,0,0
2021-12-09,25.857142857142858,0,0
2021-12-10,24,0,0
2021-12-11,21.142857142857142,0,0
2021-12-12,20.285714285714285,0,0
2021-12-13,20,0,0
2021-12-14,19.285714285714285,0,0
2021-12-15,23.142857142857142,0,0
2021-12-16,25.285714285714285,0,0
2021-12-17,23.714285714285715,0,0
2021-12-18,28.142857142857142,0,0
2021-12-19,34.57142857142857,0,0
2021-12-20,35.57142857142857,0,0
2021-12-21,41,0,0
2021-12-22,37.142857142857146,0,0
2021-12-23,35,0,0
2021-12-24,35.285714285714285,0,0
2021-12-25,35.857142857142854,0,0
2021-12-26,31.714285714285715,0,0
2021-12-27,32.285714285714285,0,0
2021-12-28,29.428571428571427,0,0
2021-12-29,30.857142857142858,0,0
2021-12-30,30.571428571428573,0,0
2021-12-31,31.428571428571427,0,0
2022-01-01,27.285714285714285,0,0
2022-01-02,23.571428571428573,0,0
2022-01-03,20.857142857142858,0,0
2022-01-04,17.714285714285715,0,0
2022-01-05,15.571428571428571,0,0
2022-01-06,17.142857142857142,0,0
2022-01-07,16,0,0
2022-01-08,16,0,0
2022-01-09,17.142857142857142,0,0
2022-01-10,16.714285714285715,0,0
2022-01-11,17.142857142857142,0,0
2022-01-12,17.142857142857142,0,0
2022-01-13,14.285714285714286,0,0
2022-01-14,13.857142857142858,0,0.14285714285714285
2022-01-15,15,0.2857142857142857,0.2857142857142857
2022-01-16,15.142857142857142,1,0.2857142857142857
2022-01-17,13.714285714285714,2.142857142857143,0.42857142857142855
2022-01-18,13.714285714285714,3.5714285714285716,0.42857142857142855
2022-01-19,11.857142857142858,5.142857142857143,0.42857142857142855
